Rank,Name,Age,Link,Favorites,Animeography,PFP
74,"Bakugou, Katsuki",14,https://myanimelist.net/character/117911/Katsuki_Bakugou,22853,"Boku no Hero Academia, Boku no Hero Academia 2nd Season, Boku no Hero Academia: Sukue! Kyuujo Kunren!",https://cdn.myanimelist.net/images/characters/12/299406.jpg
75,"Dragneel, Natsu",undefined,https://myanimelist.net/character/5187/Natsu_Dragneel,22568,"Fairy Tail, Fairy Tail OVA, Fairy Tail Movie 1: Houou no Miko",https://cdn.myanimelist.net/images/characters/15/105542.jpg
76,"Michaelis, Sebastian",undefined,https://myanimelist.net/character/10863/Sebastian_Michaelis,22452,"Kuroshitsuji, Kuroshitsuji Recap, Kuroshitsuji II",https://cdn.myanimelist.net/images/characters/6/44160.jpg
77,"Ishigami, Senkuu",undefined,https://myanimelist.net/character/148984/Senkuu_Ishigami,22392,"Dr. Stone, Dr. Stone: Stone Wars, Sekikashita Kusanagi",https://cdn.myanimelist.net/images/characters/8/380950.jpg
78,"Tokisaki, Kurumi",undefined,https://myanimelist.net/character/70069/Kurumi_Tokisaki,22127,"Date A Live II: Kurumi Star Festival, Date A Bullet: Dead or Bullet, Date A Bullet: Nightmare or Queen",https://cdn.myanimelist.net/images/characters/8/310255.jpg
79,Revy,undefined,https://myanimelist.net/character/458/Revy,22041,"Black Lagoon, Black Lagoon: The Second Barrage, Black Lagoon: Roberta's Blood Trail",https://cdn.myanimelist.net/images/characters/10/78871.jpg
80,"Freecss, Gon",12,https://myanimelist.net/character/30/Gon_Freecss,21848,"Hunter x Hunter, Hunter x Hunter: Original Video Animation, Hunter x Hunter: Greed Island",https://cdn.myanimelist.net/images/characters/11/174517.jpg
81,"Ishigami, Yuu",undefined,https://myanimelist.net/character/143185/Yuu_Ishigami,21800,"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen, Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Ultra Romantic",https://cdn.myanimelist.net/images/characters/7/372840.jpg
82,"Nico, Robin",28,https://myanimelist.net/character/61/Robin_Nico,21647,"One Piece, One Piece Movie 04: Dead End no Bouken, One Piece Movie 05: Norowareta Seiken",https://cdn.myanimelist.net/images/characters/16/363700.jpg
83,Power,undefined,https://myanimelist.net/character/170733/Power,21623,"Chainsaw Man, Chainsaw Man Movie: Reze-hen",https://cdn.myanimelist.net/images/characters/7/494969.jpg
84,"Nakano, Miku",17,https://myanimelist.net/character/160603/Miku_Nakano,21469,"5-toubun no Hanayome, 5-toubun no Hanayome ∬, 5-toubun no Hanayome Movie",https://cdn.myanimelist.net/images/characters/15/507743.jpg
85,Frieren,undefined,https://myanimelist.net/character/184947/Frieren,21283,"Sousou no Frieren, Yuusha, Sousou no Frieren: ●● no Mahou",https://cdn.myanimelist.net/images/characters/7/525105.jpg
86,"Trafalgar, Law",24,https://myanimelist.net/character/13767/Law_Trafalgar,20838,"Tokyo One Piece Tower: Tongari Shima no Dai Hihou, One Piece: Dai Tettei Kaibou! Gekitou! 5-nin no Shin Sedai, One Piece: Dai Gekisen Tokushuu! Hangeki Doumei vs. Big Mom",https://cdn.myanimelist.net/images/characters/10/258757.jpg
87,"Arlert, Armin",15,https://myanimelist.net/character/46494/Armin_Arlert,20626,"Shingeki no Kyojin, Shingeki no Kyojin: Ano Hi Kara, Shingeki no Kyojin Picture Drama",https://cdn.myanimelist.net/images/characters/8/220267.jpg
88,"Satou, Kazuma",17,https://myanimelist.net/character/117221/Kazuma_Satou,20599,"Kono Subarashii Sekai ni Shukufuku wo!, Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!, Kono Subarashii Sekai ni Shukufuku wo! 2",https://cdn.myanimelist.net/images/characters/8/301302.jpg
89,Vegeta,undefined,https://myanimelist.net/character/913/Vegeta,20181,"Dragon Ball Z, Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi, Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin",https://cdn.myanimelist.net/images/characters/14/86185.jpg
90,"Natsuki, Subaru",17,https://myanimelist.net/character/118735/Subaru_Natsuki,19968,"Re:Zero kara Hajimeru Isekai Seikatsu, Re:Zero kara Hajimeru Break Time, Re:Petit kara Hajimeru Isekai Seikatsu",https://cdn.myanimelist.net/images/characters/15/315153.jpg
91,"Ayanami, Rei",14,https://myanimelist.net/character/86/Rei_Ayanami,19958,"Shinseiki Evangelion, Shinseiki Evangelion Movie: Shi to Shinsei, Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",https://cdn.myanimelist.net/images/characters/11/314932.jpg
92,Koro-sensei,undefined,https://myanimelist.net/character/65643/Koro-sensei,19806,"Ansatsu Kyoushitsu: Jump Festa 2013 Special, Ansatsu Kyoushitsu, Ansatsu Kyoushitsu: Deai no Jikan",https://cdn.myanimelist.net/images/characters/9/277325.jpg
93,"Ikari, Shinji",14,https://myanimelist.net/character/89/Shinji_Ikari,19628,"Shinseiki Evangelion, Shinseiki Evangelion Movie: Shi to Shinsei, Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",https://cdn.myanimelist.net/images/characters/5/225177.jpg
94,"Zoë, Hange",undefined,https://myanimelist.net/character/71121/Hange_Zoë,19612,"Shingeki no Kyojin OVA, Shingeki no Kyojin, Shingeki no Kyojin Picture Drama",https://cdn.myanimelist.net/images/characters/15/208637.jpg
95,"Gremory, Rias",18,https://myanimelist.net/character/50389/Rias_Gremory,19516,"High School DxD, High School DxD OVA, High School DxD Specials",https://cdn.myanimelist.net/images/characters/5/150011.jpg
96,"Takanashi, Rikka",undefined,https://myanimelist.net/character/65865/Rikka_Takanashi,19170,"Chuunibyou demo Koi ga Shitai!, Chuunibyou demo Koi ga Shitai! Lite, Chuunibyou demo Koi ga Shitai! Depth of Field: Ai to Nikushimi Gekijou",https://cdn.myanimelist.net/images/characters/2/257273.jpg
97,"Scarlet, Erza",19,https://myanimelist.net/character/5189/Erza_Scarlet,19123,"Fairy Tail, Fairy Tail OVA, Fairy Tail Movie 1: Houou no Miko",https://cdn.myanimelist.net/images/characters/12/492254.jpg
98,"Usui, Takumi",17,https://myanimelist.net/character/14523/Takumi_Usui,19122,"Kaichou wa Maid-sama!, Kaichou wa Maid-sama!: Omake da yo!, Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥",https://cdn.myanimelist.net/images/characters/9/282968.jpg
99,"Hinata, Shouyou",16,https://myanimelist.net/character/64769/Shouyou_Hinata,18917,"Haikyuu!!, Haikyuu!! Second Season, Haikyuu!! Movie 1: Owari to Hajimari",https://cdn.myanimelist.net/images/characters/11/243919.jpg
100,Denji,16,https://myanimelist.net/character/170732/Denji,18675,"Chainsaw Man, Chainsaw Man Movie: Reze-hen",https://cdn.myanimelist.net/images/characters/3/492407.jpg
101,"Miyamoto, Musashi",undefined,https://myanimelist.net/character/6194/Musashi_Miyamoto,18092,,https://cdn.myanimelist.net/images/characters/9/557004.jpg
102,"Misaka, Mikoto",13,https://myanimelist.net/character/13701/Mikoto_Misaka,17815,"Toaru Majutsu no Index-tan, Toaru Kagaku no Railgun, Toaru Kagaku no Railgun: Motto Marutto Railgun",https://cdn.myanimelist.net/images/characters/5/378966.jpg
103,"Nara, Shikamaru",12,https://myanimelist.net/character/2007/Shikamaru_Nara,17808,"Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!, The Last: Naruto the Movie, Naruto",https://cdn.myanimelist.net/images/characters/3/131315.jpg
104,"Fujiwara, Chika",undefined,https://myanimelist.net/character/140810/Chika_Fujiwara,17683,"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen, Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen, Kaguya-sama wa Kokurasetai: Ultra Romantic",https://cdn.myanimelist.net/images/characters/2/371542.jpg
105,"Katsuragi, Misato",29,https://myanimelist.net/character/1259/Misato_Katsuragi,17374,"Shinseiki Evangelion, Shinseiki Evangelion Movie: Shi to Shinsei, Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",https://cdn.myanimelist.net/images/characters/15/515181.jpg
106,"Zeppeli, Gyro",undefined,https://myanimelist.net/character/11772/Gyro_Zeppeli,17253,,https://cdn.myanimelist.net/images/characters/13/311885.jpg
107,Meruem,undefined,https://myanimelist.net/character/23277/Meruem,17086,Hunter x Hunter (2011),https://cdn.myanimelist.net/images/characters/6/243861.jpg
108,"Yukihira, Souma",15,https://myanimelist.net/character/75216/Souma_Yukihira,17058,"Shokugeki no Souma, Shokugeki no Souma: Ni no Sara, Shokugeki no Souma: Ni no Sara OVA",https://cdn.myanimelist.net/images/characters/8/277503.jpg
109,Makima,undefined,https://myanimelist.net/character/170734/Makima,16965,"Chainsaw Man, Chainsaw Man Movie: Reze-hen",https://cdn.myanimelist.net/images/characters/4/489561.jpg
110,Vash the Stampede,150,https://myanimelist.net/character/162/Vash_the_Stampede,16892,"Trigun, Trigun: Badlands Rumble, Trigun Stampede",https://cdn.myanimelist.net/images/characters/10/89607.jpg
111,Hei,undefined,https://myanimelist.net/character/2160/Hei,16887,"Darker than Black: Kuro no Keiyakusha, Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita, Darker than Black: Ryuusei no Gemini",https://cdn.myanimelist.net/images/characters/8/78781.jpg
